名稱,網址,電話,行政區,AreaCode,地址,介紹
"新竹水潤餅","https://www.facebook.com/profile.php?id=100063955144117","(03)5243708","北區","10018020","成功路326號","外地人乍聽「水潤餅」的名字時，會以為是潤餅的一種，其實水潤餅和潤餅完全是兩回事。它是許多新竹人從小吃到大的「古早零嘴」，早期新竹還有多家製作水潤餅的店，然而隨著時代變遷與利潤降低，這簡單樸實的老味道也漸漸凋零，如今新竹只剩下「德龍商行」仍持續販售。德龍商行的二代老闆楊水龍，從國中開始跟父親學做水潤餅，兩代經營至今已超過50年。水潤餅外型圓扁，形狀不太規則，餅皮有斑狀的火痕，原料一如其單純的外型，只有麵粉、水、糖、鹽和肉桂粉；因為不含人工添加物和防腐劑，只能保存3至4天，冷凍能保存半年。楊老闆說：「外地類似這樣的餅都做得像山東大餅一樣，又乾又硬，跟我們的水潤餅不同。」水潤餅的水份較多且軟軟的，類似台語的「水軟水軟」，因而得名。咬一口水潤餅就會發現它不僅軟Q易入口，還帶著一點鹹甜麵粉香的濕潤口感，與傳統大餅的酥脆完全不同，成了早期老人和小孩最愛的點心。撕開餅皮，大大小小的氣孔，淡淡的肉桂香從中散開，滋味雖不濃郁，卻引人入勝，適合作茶點。說起自家水潤餅之所以成為新竹特色美食之一，楊老闆笑說：「因為城隍爺有保佑」。原來大約40多年前，一群在城隍廟服務的志工阿嬤將水潤餅做為獻給城隍爺的供品，此後水潤餅便逐漸興起，更因此成為「平安餅」；每逢農曆七月中元節，新竹都城隍廟范謝將軍遶境出巡時，都會將水潤餅用紅線穿成串，綁在神將身上，供信眾求食保平安，「用水潤餅作為平安餅」的風俗也成為新竹獨一無二的文化傳統。隨著飲食習慣的改變，水潤餅逐漸被人遺忘，年輕一輩新竹人，對這種廟會食品恐怕也僅存朦朧印象。市府在推動「新竹好物」美食復興計畫時，市長林智堅想起了水潤餅，特別推薦，希望更多人認識新竹在地獨特的日常美味。現今年輕人也開發出許多創意吃法，例如把這款古早味零嘴夾上餡料，包上肉末、荷包蛋，或者塗上果醬、咖哩，起司，都有令人驚豔的口感。"
"彭成珍餅舖","https://www.pengpastry.com.tw/","(03)5224877","北區","10018020","西安街5巷21號","推薦菜色：花生糖派對(原味、綜合堅果)、竹塹餅、麻糬紅豆Q餅、新竹椪餅，若非熟門熟路，一般人可能不知道狹窄的西安街巷裡，有一家傳承三代的傳統糕餅老舖─彭成珍。80多年前，彭成珍阿公以製作傳統糕餅維生，當時賣竹塹餅、柴梳餅等漢餅，每到節慶，也做些應景糕點，像新年的寸棗、中秋月餅、初一十五拜拜的紅龜粿等，主要批發給柑仔店，建立一定口碑。第三代的彭垂明原服務銀行界，從小跟在父母身邊幫忙，每逢中秋大月製餅人手不足時，總得請假幫忙，每見父母常沒日沒夜忙碌，一天睡不到幾小時，加上年紀大了體力明顯變差，決定辭掉工作，返鄉扛起家業。接手後彭垂明發現，消費者飲食習慣改變，看著老顧客逐漸凋零，吃傳統漢餅的人越來越少，開始思索如何突破困境；他先從產品包裝設計著手，也加入品牌行銷的概念，逐漸讓「彭成珍餅舖」名號被更多人看見，拓展消費群，轉型成功後，連太太李虹瑤也辭職投入家族事業，兩代人全心守護這家老餅舖。除了傳統糕餅，彭垂明夫妻倆都愛吃花生糖，常自己製作，並分享給同事，因為不錯吃，口碑建立，同事們起鬨要團購，意外成為人氣商品；在大賣場看見一桶桶的綜合堅果，也讓彭突發異想，將堅果加入花生糖中，作出口感更豐富的堅果花生糖；看著堅果、花生在熱鍋裡相互擁抱跳舞的模樣，將產品取名「花生糖派對」，傳達熱鬧、歡愉的心情，這項產品香脆不黏牙，獲選2016新竹市竹好呷類商品。（「花生糖派對」屬季節限定商品，夏天天氣過熱，麥芽糖無法凝固，端午節至中秋節期間不販售）。兩代人做傳統竹塹餅、柴梳餅、新竹椪餅，第三代研發花生糖派對，讓彭成珍餅舖在傳統之外，也開發新品，為這巷弄裡的三代店，點燃邁向下一世紀新餅業的燈火。"
"淵明餅舖","http://www.yuanming.com.tw/","0952170115","北區","10018020","中山路112號","推薦菜色：肉燥水蒸鹹蛋糕、風味芋頭餅、冰立方吐司；滷肉燥搭鬆軟蛋糕，在口中會撞出怎樣的火花？那份飽含肉香的鹹味與麵粉香的微甜，咀嚼之後留在舌尖的感動，會讓你回味無窮；這款糕點正是新竹知名的淵明水蒸蛋糕，曾獲選新竹十大伴手禮。位於中山路城隍廟對面的淵明餅舖，已有70年歷史，創辦人楊深淵老先生早年利用美援物資，單純以麵粉加蛋和糖，做出口感綿密、口味清爽的水蒸蛋糕，為新竹美食補上一頁。水蒸蛋糕發跡於新竹大戲院、樂民戲院交叉路口，那是早年新竹北區最繁華的商圈之一，楊老先生在路口設攤，每到週末假日電影開演前，就是楊家人最忙的時候，熱騰騰冒著煙的蒸糕，飄散出迷人香氣，挑起觀眾的食慾，之後一傳十、十傳百，成了新竹人看電影時非買不可、最夯的點心。第二代老闆楊滉崇從小為了家務，幫忙劈柴、挑水、生火，在煙霧迷漫的廚房工作，他說，水蒸蛋糕於他，就像家人一般熟悉，不可或缺，也是他人生記憶的全部。水蒸蛋糕的製作過程看似簡單，卻需慢工細活，每塊蛋糕先鋪一層底，分別放入紅豆、芋頭和肉燥內餡，上面再鋪一層蛋糕，才能進爐蒸，「火候掌控很重要，表皮要維持一定的濕度。」他說，製作時間超過一個半小時；他遵循傳統古法，只用蛋、糖、麵粉三種原料，製程中不加一滴油或香料、色素、防腐材料，要讓消費者吃得健康又養生。楊老闆對食材相當堅持，甜味水蒸蛋糕裡的「紅豆餡」，選用顆粒大、皮薄、顏色鮮紅的國產紅豆，「芋頭泥」也用上好芋頭，切塊、熬煮後，撈起來呈現淡淡紫色；店裡招牌是肉燥水蒸鹹蛋糕，加了滷肉燥的餡入口難忘，淵明水蒸蛋糕質地綿密鬆軟、爽口不油膩，如搭配冰涼沙士，甜甜鹹鹹的台式風味，會讓你一口接一口！目前，第三代楊志安也加入營運，為傳統老店走出新風格，他愛吃麵包，開發新品牌「十方吐司坊」，以老麵長時發酵，只用鮮奶不加水，做出鮮奶吐司入口即化又Ｑ彈，手按壓後即恢復原形，也快速竄紅成為超人氣商品！"
"新復珍商行","https://www.hfj.com.tw/","(03)5222205","北區","10018020","北門街6號","推薦菜色：竹塹餅、柴梳餅、核桃酥餅、水蒸蛋糕、美祿柑、綠豆椪，有一種餅，作家焦桐說它的滋味是「輕淡的甜蜜含蓄著輕淡的鹹，鬆，軟，香，那滋味在口舌之間，纏綿，深情，像戀人的吻。」文字間的雋永意蘊無法一一道出，但繾綣之感彷彿融入腸胃與心底，久久不散。這是竹塹餅，以新竹古城為其名的特色糕點。竹塹餅創辦人吳張換女士原本在城隍廟前賣肉粽，1898年，年僅20多歲的她在新復珍的現址開始經營糕餅舖，巧妙地將包肉粽的蔥香、料香、豬油香應用到糕餅上，成了顧客最愛的口味，廣受歡迎；本來稱為肉餅或糕皮餅，但因為外地人常說「要買竹塹城的那個肉餅」，「竹塹餅」之名因而流傳開來。「新復珍」第四代吳紘一接手後，堅守最初的手工做法，現今需求量大增的竹塹餅，仍是老員工們純手工捏製而成。竹塹餅最重要的食材是豬板油和油蔥；吳紘一說，採用的是新竹本地的黑毛豬製成的豬板油，加上自己剝製、切、炸的油蔥，不同於一般外面工廠的機器製作，不但味道更香，內餡軟加上外皮酥脆，成就新復珍的百年好品牌。竹塹餅也是新竹人的共同記憶，曾有嫁到外縣市的女顧客回來新復珍買餅，開心地跟店員分享︰「我從小吃你們的竹塹餅吃到大」，言談之間，對於竹塹餅的驕傲和喜悅表露無遺。因為餡料和口感特殊而享有盛名的竹塹餅，近年因應民眾口味的改變也做了調整；現今的竹塹餅保留了漢餅精神中甜中帶鹹的豐厚味道，內餡已見不到早時白白的豬油塊，只保留下濃郁的豬油香，符合現代人少油膩、輕口味的需求。此外又推出了「小竹塹」，讓竹塹餅更精緻、討喜。每年節慶前後也是竹塹餅購買的旺季，在地人以竹塹餅當作禮品，送禮自用兩相宜，至今這股風氣不僅持續盛行且不斷往外擴散，提供外縣市民眾選購餅食糕點的多元選擇，也讓這纏綿的幸福繼續傳承下去。"
"光華冰果店","https://www.facebook.com/kwanhua35","(03)5322318","北區","10018020","光華東街35號","推薦菜色：綜合冰、四果湯、銀耳蓮子湯，在許多新竹人心中，「光華」是記憶中陪伴成長的一家老冰菓室，老闆張琮和說：「很多客人學生時期開始光顧，結婚、生子、甚至到外地打拚多年後，還會攜家帶眷回來，回味年輕時代的滋味！」店家始終如一的執著與堅持，讓純粹的「老」味道，牽動外地遊子的心。藥劑師轉行的老闆張琮和，以頂真的態度和不斷研發創新的精神，認真處理每一道冰品的工序，例如：用熱「悶」法讓每樣食材達到恰如其分的口感，像紅豆以快鍋煮熟，悶30分鐘後立即加糖，讓粒粒紅豆入味，綠豆煮半熟即關火靜悶，讓綠豆保留完整外貌，口感綿密；看似簡單的糖水，竟結合兩種糖，加上繁複工序，首先將二號砂糖炒出蔗糖香氣，加入較甜的白糖拌炒，交融出香、味兼具的糖水.....，種種好吃的食材，全憑高度實驗精神累積出經驗值，讓光華的甜品味道了得。除了對食材用料的執著，冰果店品飲空間也絲毫不馬虎，雖是40年老店，裝潢設計依然新意盎然；「做一行得像一行」，張琮和認真地說，為了給客人舒適的飲品環境，幾乎每兩年店內裝潢都重新整修，讓客人保有新鮮感。凡事都愛嘗試的張老闆，空間設計也不假他人，巧妙利用鏡子返照與透視，營造出寬敞的空間感，連牆上馬賽克的拼貼也獨到，呈現他理想中的質感。張琮和慎選食材，且不限定產地或品種，全依季節時令挑選出最優質、最合宜的食材來製作，發揮當令食材的特性，也因為堅持所有配料當天熬煮製作，每一款冰品甜湯，都具絕佳口感與風味，讓客人感受老冰菓室的心意。"
"樹林頭麵店","","(03)5314945","北區","10018020","東大路二段423號","推薦菜色：陽春麵、榨菜肉絲麵、滷味拼盤，樹林頭麵店是時代的座標，讓過去的記憶降落，讓現在的人們見證歷史。「我老公以前隸屬空軍第八大隊，是支轟炸大隊。」我們進店時，91歲的常客姚奶奶正和老闆聊得起勁。原來，麵店老闆李增水以前是空軍第三十四大隊的士官長，跟老奶奶有說不完的話題；其實，東大路這一帶以前有許多空軍眷村，一旁的鐵道路顧名思義是以前火車軌道，專門載送貨物直達機場。樹林頭麵店始於民國63年，由老闆娘周雲玉的媽媽創立，因應外省人飲食習慣，經營麵食早餐，菜色說起來稀鬆平凡，盡是處處可見的陽春麵、榨菜肉絲麵、炸醬麵、滷味，但光憑這幾樣菜就能收服許多人的胃，可見店家功力。店裡的招牌是「辣椒醬」和「山東醋」，正是老眷村人念念不忘的味道，「這些外面買不到，很多人搬到台北後特別回來吃。」周雲玉說；辣椒醬用的是花椒，香而不嗆，略帶辛辣；山東醋清淡爽口，不似市面上賣的醋那麼酸，兩種醬料搭在一起是絕配，淋在各類麵食、滷味上，都讓麵點加分，「這是老外省人的口味，年輕人不知道，但我這麼一教，大家都說好吃！」周雲玉笑說。滷味拼盤是店裡的另一項人氣產品，經常早上10點前就銷售一空，其中，最受歡迎的莫過於豬頭肉和豆腐干；豬頭肉經小火熬煮1∼2個小時，油脂消失，軟硬適中，老闆娘每天都要吃上一份，豆腐干裡頭有孔洞，能讓湯汁入味，滷得到味，咬下去滷汁溢出，口感鬆軟又香氣飽滿。樹林頭麵店走過四十多個年頭，老闆夫婦見證了老主顧的成長與凋零，與客人也成了無話不說的朋友，「我喜歡看老客人，跟他們一起聊聊老故事或八卦，相當有趣。」老闆娘笑著說，她也希望這家店成為社區交誼廳，繼續經營下去，將棒子交給兒子。仗打完了，眷村拆了，當時的記憶結晶成一碗碗湯麵，道道滋味都是大時代矇住的心跳。"
"揭家牛肉麵","https://www.facebook.com/profile.php?id=100064171261590","(03)5364668","北區","10018020","東大路三段373號","推薦菜色：牛肉麵、牛肉乾麵、豬骨湯腸麵、各式滷味，「揭家牛肉麵」開業已六十餘年，是新竹知名老字號，許多常客從小吃到大。店面鄰近南寮漁港，人潮絡繹不絕，是在地人難以忘懷的家鄉美味。揭家牛肉麵主要供應乾麵、湯麵及無肉牛肉湯麵，另有陽春麵及搭配滷大腸的牛骨、豬骨湯腸麵等，麵食品項單純，但櫃台上擺著的一大盆滷味，卻令人垂涎欲滴，每樣都想來上一口。早期的東大路與武陵路、鐵道路周邊，是空軍眷村，鄰近空軍聯隊基地，來自大陸各省的眷戶，常會烹煮家鄉味與鄰居分享。揭家第一代老闆揭奶奶1950年代，在眷村開牛肉麵館及滷味店，村裡人待客，習慣到「揭家」切點滷味；第二代揭強中國海專畢業後，原打算跟商船出海，但因身為家中獨子，姊妹們又旅居國外，選擇留在家中照顧父母，也跟著母親學習煮麵、滷牛肉技藝，接手後，天沒亮就得起床，一做也四十多年。「揭家」經典牛肉麵是紅燒口味，基底是以牛骨長時間熬煮成的濃白高湯，加上糖、鹽、醬油、薑、八角等調味料，再將澳洲牛腩滷至軟嫩入味，湯頭看似濃稠，其實爽口，入口滿是牛肉鮮香。店內使用的麵條也十分講究，早年都用眷村鄰居手工揉製、攤車叫賣的麵條，現在改用原供應店家、品質一致的產品，讓開業的好味道至今不變；不吃牛肉的客人也有好選擇：豬骨湯腸麵，這是應當時空軍基地常客的要求而做的，湯頭以豬大骨熬製，配上煮好的麵條及口感Q軟的滷肥腸，愛吃肥腸的人肯定欲罷不能。使用老滷汁烹製的滷味堪稱佐餐良伴，包括：豬頭皮、豬腳、豬腸、豬肚、牛腱、牛肚、牛筋、鴨翅、鴨胗、鴨蛋等，種類豐富，顧客選好喜歡的品項後，老闆娘會幫忙秤重、切盤，滷味直接吃就很美味，也可搭配山東醋、店家自製辣油、蔥白，調配沾醬，後勁十足的辣味，搭純釀山東醋的溫和酸味，嘗起來更加爽口。"
"漁香甜不辣","https://www.facebook.com/YuHsiang.Hsinchu/","(03)5238843","北區","10018020","大同路86號2010號","推薦菜色：原味甜不辣、鹽酥甜不辣、綜合飯、牛蒡甜不辣，深受在地人喜愛的「漁香甜不辣」，以新鮮、純正的魚漿原料製作，不加人工添加物，備受消費者肯定。「漁香」已傳承三代，第一代經營者是東門市場內的小魚舖，因每天採購的新鮮魚貨總會剩下一些，不想浪費，開始製作魚漿，沒想到大受好評，後來轉型專賣魚漿，新竹不少小吃店都向他們買魚漿，再自行加工製成其他產品出售。「漁香甜不辣」專賣店原在中央路上，只賣原味甜不辣、鹽酥甜不辣和幾樣冷凍魚漿製品，兩年前遷到大同路現址，室內面積擴大，用餐環境也變寬敞，菜單內容較多元，除了基本魚漿製品，增加飯、麵主食和多款小菜。身為長男的第三代老闆陳昱府，年輕時便知道自己須扛起家業，為了讓家傳的魚漿生意能永續經營，接手後，從甜不辣專賣店起步，講究新鮮與衛生的態度，做出口碑後，轉大同路擴大營業，從店面規劃、裝潢到擬菜單，大小事都親力親為，力求打造出明亮衛生、顧客舒適用餐的空間。招牌甜不辣原料簡單，每日現做，基底魚漿在東門市場一樓的老舖每天現絞，再送到二樓工廠成型，現炸成各式甜不辣；甜不辣有魚棗、魚條、魚餅三種，魚漿中分別加入雞蛋、豬肉、洋蔥，吃得到魚漿的鮮味與彈性，新口味牛蒡甜不辣可以酥炸後當小菜，鹹香滋味加上碎牛蒡的清脆口感，值得一試。佐餐的包餡魚丸湯，魚丸裡加了豬肉、青蔥、荸薺、鹽、糖拌成的餡料，由師傅們以熟練的技術手捏成型後下水烹煮，與高湯一同享用，口味特佳。「漁香」所有產品都不使用多餘人工添加物，因此不耐久煮，為了讓顧客享用最佳口感，每一份都得下單後現煮，如果覺得不過癮，順手帶幾包冷凍魚棗、魚條、魚餅或包餡魚丸，回家DIY，也是不錯的。"
"竹樂食堂","","(03)5340996","北區","10018020","西大路690號","推薦菜色：古早味蚵仔煎、烤排骨、紅燒魚皮、黑米糕，位於民富國小對面的竹樂食堂，是老牌熱炒店，開店30年來，從不用菜單，如同一般海產店，客人先在門口冰櫃前選擇想吃的生鮮食材，老闆依季節時令來配菜，因此，即便是一樣的生鮮，配的青菜都不一樣。說到竹樂食堂，新竹市老一輩人一定豎起大拇指，創店老闆陳國龍已76歲，他年輕時學廣式、福州料理和酒家菜，曾和友人在大同路開大春餐廳22年，民國76年到西大路開店，以家常熱炒為主，菜色都自行研發，目前已由第二代陳順溢、李靜居接手，不過，陳國龍還親自採買，「食材新鮮，才做得出好料理」。「歷任市長都來過，住附近的柯文哲家人也常來」老闆娘說，來店的熟客多，雖沒菜單，熟客也都信任，像白斬雞、古早味蚵仔煎、烤排骨、紅燒魚皮、黑米糕、土魠魚羹湯等，都是店裡招牌；尤其蚵仔煎、烤排骨點食率最高，這兩道菜食材單純、做法簡單，卻有讓人一吃再吃的魅力。古早味蚵仔煎是將鮮蚵汆燙後，加入青蔥和地瓜粉，入鍋煎至兩面金黃酥脆才上桌，滿滿的蚵仔，咬下去外酥內軟，百吃不厭；烤排骨也只用簡單的調味料醃過，放入200度烤箱中烤20分鐘就完成，肉排軟嫩多汁、還有嚼勁。「我們的料理方式都很簡單，重點在掌握食材的新鮮度」陳順溢說，對食材有信心，才敢放在透明冰櫃讓客人選。竹樂食堂沒有豪氣的裝潢，空間也不大，但消費者仍願意造訪的另一原因是竹樂食堂童叟無欺，價格親民。30年來，從廚房料理到外場服務，全由竹樂食堂家族親力親為，很多食材也是親戚朋友自己栽植的，「清楚食材來源，才吃得安心」老闆娘說，這也是竹樂食堂開店的初衷。"
"蔡記燒酒雞","","(03)5233885","北區","10018020","中正路190號","推薦菜色：藥膳燒酒烏骨雞、金錢蝦、里肌糖醋肉、墨魚香腸，台灣到處都有燒酒雞，但新竹市「蔡記雞酒燒」這家25年老店，讓人印象特別深刻！店名「雞酒燒」發想自台語「燒酒雞」，老闆蔡思涵故意將店名反著取，看得出他反骨的個性與趣味，反映在菜色設計與創新上，也大不相同。蔡記雞酒燒的店面不大，沒事先訂位，向隅機率很高，雖然價格不便宜，卻經常高朋滿座，原因是蔡思涵比客人嘴刁，自己不吃的也不會給客人吃！他認為，開店不是有得賣、賺錢就好，要有自己的標準，「餐飲業是良心事業，貴也要貴得有道理」。以店裡招牌藥膳燒酒烏骨雞來說，半隻雞要價近千元，硬是比一般燒酒雞貴上許多，原因在於他使用的滷包，除了特別調製的中藥配方，最重要一味是加了一斤上萬元、精磨成粉的冬蟲夏草，光這味成本就不低，但為了讓燒酒雞食補功能發揮到極致，「再貴也省不得」。這道招牌雞湯選用營養價值、口感都屬上乘的烏骨雞，重量也錙銖必較，太小沒份量、口感差，太大肉質過柴、纖維太粗，唯有精選的4斤重，才能完美呈現蔡記招牌。"
